r,dmax,b,h,d,ad,ro,row,fy,fyw,fc,V,MF,M
50.00,25.00,200.00,350.00,303.00,3.30,2.98,0.00,500.00,0.00,41.34,89.00,1,88.99
25.00,25.00,200.00,350.00,303.00,3.30,2.98,0.00,500.00,0.00,42.38,104.00,1,103.99
100.00,25.00,200.00,350.00,303.00,3.30,2.98,0.00,571.00,0.00,39.65,90.60,1,90.59
50.00,25.00,200.00,350.00,303.00,3.30,2.98,0.12,571.00,500.00,39.30,164.30,0,164.28
50.00,25.00,200.00,350.00,303.00,3.30,2.98,0.17,571.00,500.00,41.50,177.00,0,176.98
50.00,25.00,200.00,350.00,303.00,3.30,2.98,0.22,571.00,500.00,40.50,233.60,0,233.58
50.00,25.00,200.00,350.00,303.00,3.30,2.98,0.00,571.00,0.00,39.70,90.60,1,90.59
50.00,25.00,200.00,350.00,303.00,3.30,2.98,0.12,571.00,500.00,39.30,164.30,1,164.28
50.00,25.00,200.00,350.00,303.00,3.30,2.98,0.17,571.00,500.00,41.50,177.00,1,176.98
50.00,25.00,200.00,350.00,303.00,3.30,2.98,0.22,571.00,500.00,40.50,233.60,1,233.58
0.00,25.00,200.00,350.00,303.00,3.30,2.98,0.00,571.00,0.00,40.20,88.90,1,88.89
0.00,25.00,200.00,350.00,303.00,3.30,2.98,0.12,571.00,500.00,39.20,128.00,1,127.99
0.00,25.00,200.00,350.00,303.00,3.30,2.98,0.17,571.00,500.00,39.10,150.80,1,150.78
0.00,25.00,200.00,350.00,303.00,3.30,2.98,0.22,571.00,500.00,37.70,190.30,1,190.28
100.00,25.00,200.00,400.00,360.00,3.30,1.61,0.00,500.00,0.00,22.60,57.80,0,68.67
0.00,25.00,200.00,400.00,360.00,3.30,1.61,0.00,500.00,0.00,24.70,71.10,1,84.47
50.00,25.00,200.00,400.00,360.00,3.30,1.61,0.00,500.00,0.00,24.10,71.60,1,85.06
100.00,16.00,200.00,300.00,250.00,3.20,1.60,0.28,448.00,234.10,36.60,118.00,1,94.40
100.00,16.00,200.00,300.00,250.00,3.20,1.60,0.28,448.00,234.10,39.30,116.50,1,93.20
100.00,16.00,200.00,300.00,250.00,3.20,0.90,0.30,483.00,234.10,34.60,64.00,0,51.20
100.00,16.00,200.00,300.00,250.00,3.20,0.90,0.30,483.00,234.10,56.40,78.00,0,62.40
100.00,16.00,200.00,300.00,250.00,3.20,0.90,0.30,483.00,234.10,40.10,81.50,0,65.20
100.00,16.00,200.00,300.00,250.00,3.20,0.90,0.30,483.00,234.10,60.20,68.00,0,54.40
100.00,16.00,200.00,300.00,250.00,3.20,0.90,0.30,483.00,234.10,35.30,75.00,0,60.00
100.00,16.00,200.00,300.00,250.00,3.20,0.90,0.30,483.00,234.10,57.60,71.50,0,57.20
100.00,16.00,200.00,300.00,250.00,3.20,1.60,0.30,448.00,234.10,58.30,118.50,0,94.80
100.00,16.00,200.00,300.00,250.00,3.20,1.60,0.30,448.00,234.10,59.60,118.50,0,94.80
100.00,16.00,200.00,300.00,250.00,3.20,1.60,0.28,448.00,234.10,35.80,120.50,1,96.40
100.00,16.00,200.00,300.00,250.00,3.20,1.60,0.30,448.00,234.10,59.60,119.00,0,95.20
0.00,16.00,200.00,300.00,250.00,3.20,0.90,0.30,483.00,234.10,37.70,64.50,0,51.60
0.00,16.00,200.00,300.00,250.00,3.20,0.90,0.30,483.00,234.10,57.90,80.00,0,64.00
0.00,16.00,200.00,300.00,250.00,3.20,0.90,0.30,483.00,234.10,39.80,78.00,0,62.40
0.00,16.00,200.00,300.00,250.00,3.20,0.90,0.30,483.00,234.10,58.30,70.00,0,56.00
0.00,16.00,200.00,300.00,250.00,3.20,0.90,0.30,483.00,234.10,40.10,75.50,0,60.40
0.00,16.00,200.00,300.00,250.00,3.20,0.90,0.30,483.00,234.10,61.80,73.00,0,58.40
0.00,16.00,200.00,300.00,250.00,3.20,1.60,0.30,448.00,234.10,38.20,113.50,0,90.80
0.00,16.00,200.00,300.00,250.00,3.20,1.60,0.30,448.00,234.10,59.10,117.00,0,93.60
0.00,16.00,200.00,300.00,250.00,3.20,1.60,0.30,448.00,234.10,38.70,108.50,0,86.80
0.00,16.00,200.00,300.00,250.00,3.20,1.60,0.28,448.00,234.10,39.60,115.50,1,92.40
0.00,16.00,200.00,300.00,250.00,3.20,1.60,0.30,448.00,234.10,60.80,119.00,0,95.20
100.00,25.00,300.00,460.00,375.00,3.20,2.03,0.00,450.00,0.00,30.00,143.20,1,171.84
100.00,25.00,300.00,460.00,375.00,3.20,2.03,0.00,450.00,0.00,34.10,124.10,1,148.92
100.00,25.00,300.00,460.00,375.00,3.20,2.71,0.00,450.00,0.00,34.10,140.30,1,168.36
50.00,25.00,300.00,460.00,375.00,3.20,2.03,0.00,450.00,0.00,32.10,151.30,1,181.56
